mtu	build	scen	proto	thrA	thrB	lossA	lossB	cpu
9000	stock	1up	tcp	359 Mbits/sec				87
9000	stock	1down	tcp	397 Mbits/sec				91
9000	stock	2up	tcp	193 Mbits/sec	196 Mbits/sec			92
9000	stock	2down	tcp	127 Mbits/sec	345 Mbits/sec			93
9000	stock	mixed	tcp	220 Mbits/sec	187 Mbits/sec			92
9000	stock	1up	udp	473 Mbits/sec		85%		86
9000	stock	1down	udp	695 Mbits/sec		67%		92
9000	stock	2up	udp	397 Mbits/sec		91%	91%	92
9000	stock	2down	udp	685 Mbits/sec		68%		92
9000	stock	mixed	udp	480 Mbits/sec		85%		87
9000	batch	1up	tcp	445 Mbits/sec				71
9000	batch	1down	tcp	747 Mbits/sec				91
9000	batch	2up	tcp	258 Mbits/sec	256 Mbits/sec			84
9000	batch	2down	tcp	415 Mbits/sec	530 Mbits/sec			95
9000	batch	mixed	tcp	276 Mbits/sec	439 Mbits/sec			94
9000	batch	1up	udp	624 Mbits/sec		86%		91
9000	batch	1down	udp	921 Mbits/sec		59%		96
9000	batch	2up	udp	361 Mbits/sec	327 Mbits/sec	89%	92%	92
9000	batch	2down	udp	953 Mbits/sec		58%		95
9000	batch	mixed	udp	611 Mbits/sec		86%		91
1500	stock	1up	tcp	345 Mbits/sec				88
1500	stock	1down	tcp	414 Mbits/sec				92
1500	stock	2up	tcp	194 Mbits/sec	194 Mbits/sec			92
1500	stock	2down	tcp	107 Mbits/sec	403 Mbits/sec			92
1500	stock	mixed	tcp	238 Mbits/sec	174 Mbits/sec			92
1500	stock	1up	udp	485 Mbits/sec		84%		86
1500	stock	1down	udp	667 Mbits/sec		70%		92
1500	stock	2up	udp	260 Mbits/sec	290 Mbits/sec	94%	91%	93
1500	stock	2down	udp	643 Mbits/sec		71%		91
1500	stock	mixed	udp	483 Mbits/sec		85%		86
1500	batch	1up	tcp	365 Mbits/sec				78
1500	batch	1down	tcp	716 Mbits/sec				93
1500	batch	2up	tcp	227 Mbits/sec	276 Mbits/sec			85
1500	batch	2down	tcp	357 Mbits/sec	385 Mbits/sec			95
1500	batch	mixed	tcp	311 Mbits/sec	443 Mbits/sec			95
1500	batch	1up	udp	500 Mbits/sec		89%		81
1500	batch	1down	udp	969 Mbits/sec		57%		95
1500	batch	2up	udp	362 Mbits/sec	329 Mbits/sec	88%	90%	92
1500	batch	2down	udp	921 Mbits/sec		59%		96
1500	batch	mixed	udp	590 Mbits/sec		86%		90
